Date,AAPL,MSFT,NVDA,TSLA,AMZN,HD,JPM,BAC,GS,XOM,CVX,COP,JNJ,UNH,PFE,WMT,PG,KO
2022-08-25,0.0774632659757091,0.055819667298973676,0.063213845069182,0.10691317898976342,0.0820644557056684,0.08718206050949458,0.08112032322347694,0.055703886727555225,0.08185859086543064,0.05247641377649901,0.05786710910886326,0.041566288648537925,0.10195236558101009,0.15426894638389665,0.06545825236175794,0.08926015418947895,0.046679605356735585,0.05048597626188307
2022-08-26,0.07946628498235546,0.05639946013814007,0.06453341537175984,0.10680319922749956,0.07901196788302359,0.08940964341064933,0.081869487028864,0.05565447947540684,0.08194748365291349,0.053008453838712076,0.05795897373291771,0.04151125085049864,0.10319555756110094,0.15703024778482813,0.06620314531721835,0.09150079924783884,0.04491127254479364,0.04910630820364636
2022-08-29,0.07815418690554625,0.05661796088048028,0.06573394890842128,0.1088185809476351,0.08006920049400304,0.08803426514864555,0.08450072511461985,0.05615050122506048,0.08277605464141237,0.05284531052733536,0.0578493592754597,0.04221988536631289,0.10400777213980335,0.15840102584957963,0.06891066256830831,0.09224947512850412,0.04664724742783591,0.04867326824398147
2022-08-30,0.07879497402327788,0.05699348023437732,0.06554755388738231,0.10818596743143209,0.07893008771927576,0.0868289115687142,0.08053500181688301,0.05469266688389511,0.08258042355135867,0.05098982035396524,0.05566563111016773,0.04200358008898587,0.10352591187290669,0.16062864806766122,0.06932406289034572,0.08461046613706052,0.04745173366340044,0.0483887212997661
2022-08-31,0.07728957918961032,0.05782019765183982,0.06409888809458729,0.10873270606036026,0.08035803101446293,0.0881693452725278,0.07928636897425435,0.05466360851885116,0.08083804061183926,0.05078292234449232,0.05579432541993223,0.04276342545207622,0.1031718860338967,0.15834538344175214,0.06959974984213858,0.0835543021793942,0.04664804789590489,0.0496615473537839
2022-09-01,0.07750917664028613,0.05857608163836193,0.06402492630472381,0.11022133817461688,0.08334790328268843,0.09022003570016068,0.07849532240067822,0.055529853763492884,0.08102814173031969,0.05063086169129954,0.056016836059301627,0.04322352173319623,0.10308666986249163,0.1596723927452863,0.0699726893997933,0.08067532586225645,0.0463488307163825,0.05012034578094475
2022-09-02,0.07871853982437352,0.05900044881062962,0.06476488767480436,0.11055234766264403,0.08450529372803817,0.09014846358828302,0.07913091338632482,0.05500656662504863,0.08101327230055094,0.05170415761110488,0.05649649286394758,0.044654871846421924,0.1056199542254233,0.16227972149187994,0.07173764248829234,0.07596489770609381,0.04749410520355214,0.04993059760395893
2022-09-06,0.07687734146469712,0.05878554944758863,0.06395697918714505,0.11014352704478476,0.08356301148251988,0.09172248009195502,0.07884923220294533,0.05497749561975387,0.08094157342634811,0.05179518560610919,0.05588000182058549,0.04614064003155583,0.10420973452795244,0.16216033871309765,0.07321133040704425,0.07605387915239249,0.04914525105614437,0.05102106888422489
2022-09-07,0.07689213112443286,0.058014465486575295,0.0651951897308064,0.11027120107966522,0.08532673186096423,0.08898220918959823,0.07868185604410102,0.05552581291257064,0.08026314570926789,0.05165112947257652,0.05621838327059768,0.04542912715117099,0.10316484813908958,0.1624217855976238,0.07311052562677792,0.07707263770607989,0.05077697553193751,0.052526311507380984
2022-09-08,0.0752944664863892,0.059233292375353463,0.06588701539166662,0.11302505296311792,0.08743422755525866,0.09162847572188522,0.0803707809707176,0.056823320961333405,0.08209135142101055,0.0516158802991416,0.0564460216622715,0.04455871864215937,0.10765145536060135,0.162342970286007,0.07279073521109573,0.07681136706116844,0.05322869802332359,0.05238815711282034
2022-09-09,0.07251285038732061,0.056450990897058635,0.06415401598006508,0.1128841081125028,0.09027552005701482,0.09160491112379524,0.07975730359460229,0.05716289956807998,0.08385011000687007,0.052300465105807874,0.05655730773947655,0.044501392828345705,0.10854816248022563,0.16770559110493224,0.07260336891327902,0.07115938905022479,0.051541444928907006,0.05250718745037607
