Date,AAPL,AMZN,BAC,COP,CVX,DIA,GS,HD,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,QQQ,SPY,TSLA,UNH,WMT,XLE,XLF,XLK,XLP,XLV,XLY,XOM
2021-08-23,146.02281188964844,163.2935028076172,36.195594787597656,45.88674545288086,79.1599349975586,324.18701171875,355.6492614746094,289.3878479003906,155.22518920898438,138.2731170654297,48.679954528808594,292.3808898925781,21.882312774658203,38.322322845458984,126.94924926757812,362.2157287597656,418.0229797363281,235.43333435058594,389.6324768066406,47.10958480834961,19.84491729736328,34.844993591308594,75.96920776367188,63.55817413330078,125.5627212524414,86.32616424560547,46.081966400146484
2021-08-24,145.9350128173828,165.28900146484375,36.69992446899414,46.40599822998047,80.06829833984375,324.4531555175781,361.94818115234375,286.8801574707031,153.2849578857422,139.12901306152344,48.30908203125,290.4327087402344,21.717880249023438,37.132667541503906,125.92029571533203,363.322021484375,418.6865539550781,236.163330078125,387.8462829589844,46.62422561645508,20.174205780029297,35.05588150024414,75.88252258300781,63.076202392578125,125.12007904052734,86.93553161621094,46.45961380004883
2021-08-25,144.70606994628906,164.95899963378906,37.29270935058594,46.916873931884766,80.61661529541016,324.8566589355469,365.9877624511719,285.9795227050781,152.27114868164062,141.99684143066406,48.36083221435547,289.84722900390625,22.136430740356445,36.464927673339844,125.47176361083984,363.7394104003906,419.56512451171875,237.06666564941406,384.4844665527344,46.64301681518555,20.32843017578125,35.46852493286133,75.83919525146484,62.971038818359375,124.77889251708984,87.27141571044922,46.54353713989258
2021-08-26,143.90625,165.8000030517578,37.19538879394531,46.171504974365234,79.56092071533203,323.00396728515625,365.3588562011719,283.86041259765625,151.4583740234375,142.7292022705078,47.90370559692383,287.0448303222656,21.991933822631836,36.36514663696289,125.25189208984375,361.4296569824219,417.0882873535156,233.72000122070312,381.8372802734375,46.13888168334961,20.01997947692871,35.2943000793457,75.3624267578125,62.681884765625,124.29012298583984,86.46530151367188,45.914119720458984
2021-08-27,144.94017028808594,167.48150634765625,37.59352111816406,47.519874572753906,80.72299194335938,325.2145080566406,371.80828857421875,285.5381164550781,151.13502502441406,143.87635803222656,47.99857711791992,287.64947509765625,22.55797576904297,35.76648712158203,125.15512084960938,364.9427795410156,420.81756591796875,237.30667114257812,383.5868835449219,45.878990173339844,20.55351448059082,35.761962890625,76.08961486816406,62.90093231201172,124.15178680419922,87.25223541259766,46.80369567871094
2021-08-30,149.3488006591797,171.07850646972656,36.85917282104492,47.067630767822266,80.51840209960938,324.7649230957031,366.4130554199219,288.8227233886719,151.77296447753906,141.57327270507812,48.455711364746094,291.3635559082031,22.609792709350586,35.889278411865234,125.70039367675781,369.03826904296875,422.66802978515625,243.6366729736328,383.16552734375,46.24848556518555,20.311758041381836,35.25762176513672,76.90829467773438,63.18134307861328,124.85264587402344,87.90960693359375,46.291778564453125
2021-08-31,148.0906219482422,173.5395050048828,36.93880844116211,46.50649642944336,79.19265747070312,324.6182861328125,368.11346435546875,288.0103454589844,151.30979919433594,141.14088439941406,48.56783676147461,289.7224426269531,22.311771392822266,35.35969543457031,125.22550201416016,368.7373962402344,422.0418701171875,245.24000549316406,381.3060302734375,46.37372589111328,20.174205780029297,35.211769104003906,76.50377655029297,63.321571350097656,124.6866683959961,88.1207275390625,45.75467300415039
2021-09-01,148.7538299560547,173.9499969482422,36.443336486816406,45.769500732421875,78.32520294189453,324.27874755859375,368.2469177246094,287.2205810546875,151.84291076660156,140.93795776367188,48.895591735839844,289.6745300292969,22.36759376525879,35.336666107177734,126.50074768066406,369.34881591796875,422.2662048339844,244.69667053222656,382.2952880859375,46.273521423339844,19.878259658813477,35.010032653808594,76.52302551269531,63.65456008911133,124.72357940673828,88.11593627929688,45.125247955322266
2021-09-02,149.86578369140625,173.156005859375,36.478912353515625,47.402626037597656,79.96192932128906,325.4896240234375,368.99468994140625,290.8592224121094,152.8829345703125,141.59097290039062,48.96458053588867,289.0218811035156,22.322736740112305,35.950679779052734,126.5974349975586,369.1741027832031,423.5653381347656,244.1300048828125,388.1210632324219,46.51776885986328,20.382619857788086,35.129241943359375,76.44115447998047,63.8999137878418,126.0606460571289,88.11112976074219,46.224632263183594
2021-09-03,150.499755859375,173.90249633789062,36.50558853149414,47.10112380981445,79.78189086914062,324.820068359375,366.1549377441406,293.1666259765625,152.9790802001953,140.73501586914062,48.93008804321289,289.0122985839844,22.768278121948242,35.950679779052734,126.68538665771484,370.30963134765625,423.46246337890625,244.52333068847656,387.3424377441406,46.733821868896484,20.265905380249023,34.90917205810547,76.74455261230469,63.821048736572266,126.19902801513672,88.05834197998047,46.048397064208984
