Risk Profile,Count,Avg_Overall_Weight_Pct,Avg_Best_Model_Weight_Pct,Deviation from Equal W. (%)
Low Distributional Risk,4,6.174571223972478,6.514253066979069,0.9586975114235132
Intermediate Distributional Profile,12,5.732189700338245,5.799320388624707,0.24376483306915198
High Distributional Risk,2,3.257719350025533,2.175571534293577,-3.3799840212619783
