Date,AAPL,DIA,JNJ,JPM,QQQ,SPY,TSLA,WMT,XOM
2021-02-01,130.57887268066406,276.4833068847656,141.16539001464844,114.14682006835938,312.885498046875,351.2018127441406,279.9366760253906,43.37350082397461,36.71356964111328
2021-02-02,131.40635681152344,280.8775634765625,139.898681640625,117.66053009033203,317.9898376464844,356.16790771484375,290.92999267578125,43.84064865112305,37.293861389160156
2021-02-03,130.38421630859375,281.2803039550781,139.24798583984375,119.00788879394531,316.7284240722656,356.447998046875,284.89666748046875,43.97456741333008,38.75684356689453
2021-02-04,133.74261474609375,284.4019775390625,140.5406951904297,121.74662017822266,320.47418212890625,360.4992370605469,283.3299865722656,44.38877487182617,39.500606536865234
2021-02-05,133.3282470703125,285.198486328125,142.6749725341797,121.50884246826172,321.5610656738281,361.91802978515625,284.07666015625,44.95869827270508,40.82463455200195
2021-02-08,133.4745330810547,287.3496398925781,143.08274841308594,123.41102600097656,323.7153015136719,364.5318298339844,287.8066711425781,45.167362213134766,42.581851959228516
2021-02-09,132.59706115722656,287.3772277832031,144.25399780273438,122.9178695678711,323.64752197265625,364.2890930175781,283.1533203125,45.4165153503418,42.08314514160156
2021-02-10,131.9926300048828,287.9080810546875,144.72247314453125,122.98831939697266,322.909912109375,364.13043212890625,268.2733459472656,44.88707733154297,42.49042892456055
2021-02-11,131.73922729492188,288.072998046875,144.07183837890625,122.6448745727539,324.6858825683594,364.7184753417969,270.5533447265625,44.852813720703125,41.426509857177734
2021-02-12,131.97315979003906,288.402587890625,144.52293395996094,124.38851928710938,326.5005798339844,366.52020263671875,272.0400085449219,44.99296188354492,41.99171829223633
2021-02-16,129.84780883789062,288.8967590332031,143.21290588378906,127.38265991210938,325.61749267578125,366.20269775390625,265.40667724609375,45.36357498168945,43.25511932373047
2021-02-17,127.55680847167969,289.8305969238281,143.7247772216797,127.77893829345703,324.0550537109375,366.28680419921875,266.04998779296875,45.84317398071289,43.92837905883789
2021-02-18,126.45518493652344,288.87847900390625,143.794189453125,128.21044921875,322.6383056640625,364.7278747558594,262.4599914550781,42.87208557128906,43.238502502441406
